,Aguascalientes,Campeche,Ciudad de Mexico,Ciudad Victoria,Chetumal,Chihuahua,Chilpancingo,Colima,Cuernavaca,Culiacan,Durango,Guadalajara,Guanajuato,Hermosillo,La Paz,Mexicali,Monterrey,Morelia,Merida,Oaxaca,Pachuca,Puebla,Queretaro,Saltillo,San Luis Potosi­,Tepic,Tlaxcala,Toluca,Tuxtla Gutierrez,Villahermosa,Xalapa,Zacatecas
Durango,826.2017918781726,5334.471116751269,1942.4049746192893,1516.9356497461927,5436.96002538071,2451.9535177664975,3217.9769137055837,2458.554065989848,2105.4445583756346,1803.4842538071064,0.0,3176.5331878172587,1477.164659898477,3490.9967157360406,8073.3139644670055,4866.456532994925,2049.799609137056,1934.1415583756348,5607.153964467006,3301.438269035533,1909.2168223350254,2398.7943299492385,1232.3988934010151,1921.161994923858,901.1141319796955,2426.4273908629443,2417.542837563452,1683.5249695431476,4750.775406091371,4419.804791878173,3245.293878172589,575.168228426396
Guadalajara,962.336111675127,5515.041670050761,2056.093527918782,1920.4229238578682,5631.635964467005,3577.5794416243657,2639.6337969543147,679.2045634517766,2066.129771573604,2802.1021065989844,3176.5331878172587,0.0,1073.0637157360406,4489.614568527919,9071.931817258883,5865.074385786803,2275.865538071066,1073.5870355329948,5788.283517766498,3482.008822335026,2090.3463756345177,2579.9238832487313,1129.3143299492385,2143.2485279187817,1233.0912385786803,752.7529035532995,2598.113390862944,1727.0320862944163,4931.904959390863,4600.375345177665,3225.4012385786805,1212.8106751269038
Guanajuato,650.4038680203046,4495.8078629441625,1103.7545076142133,1026.43776142132,4598.296771573605,3266.206197969543,1839.4758223350257,1743.079878172589,1266.7940913705584,3865.977421319797,1477.164659898477,1073.0637157360406,0.0,5553.4898832487315,10135.807131979696,6928.949700507615,1382.4393756345178,555.6404670050762,4768.490710659898,2462.787802030457,1070.5663553299491,1560.1438629441623,436.1289644670051,1249.2633654822334,339.09328934010153,1816.6282182741118,1578.892370558376,1208.5265177664976,3912.6711522842643,3581.141538071066,2406.643411167513,901.4374314720812
Hermosillo,5442.203279187817,9995.45505076142,6536.5069086294425,6048.123233502538,10097.943959390863,1796.3557512690354,7119.488177664975,5145.648969543147,6546.543152284265,1686.99769035533,3490.9967157360406,4489.614568527919,5553.4898832487315,0.0,4582.330035532996,1374.9008172588833,5576.594969543148,5554.000416243654,10268.137898477158,7962.422203045686,6570.759756345178,7059.778263959391,5608.975,5395.475314720812,5712.94561928934,3739.495984771574,7078.539558375634,6206.886467005076,9411.759340101524,9080.788725888326,7705.255619289341,4065.3921878172587
La Paz,10018.927147208122,14577.772299492386,11186.836944162436,8497.804746192895,14680.261208121829,5625.3108527918785,11702.36442639594,9722.935218274113,11128.860401015228,6269.3149390862945,8073.3139644670055,9071.931817258883,10135.807131979696,4582.330035532996,0.0,3108.2057106598986,7973.794441624366,10136.33045177665,14850.455147208122,12544.752238578681,11153.089791878172,11642.108299492385,10192.057746192895,7845.156827411169,8973.668126903553,8321.813233502538,11660.8568071066,10789.216502538071,13994.076588832488,13657.52538071066,12287.572868020305,8647.722223350254
Mexicali,6817.6630964467,11370.914868020303,7979.407725888325,5290.388314720813,11473.403776649746,2418.4406345177667,8494.94799492386,6516.0777868020305,7922.002969543148,3062.4575076142137,4866.456532994925,5865.074385786803,6928.949700507615,1374.9008172588833,3108.2057106598986,0.0,4766.378010152284,6929.460233502538,11643.597715736041,9337.882020304567,7945.660573604061,8435.238081218275,6985.1875279187825,4637.740395939087,5108.596304568528,5114.955802030458,8453.986588832488,7582.34628426396,10787.219157360407,10456.248543147209,9080.715436548224,5440.852005076142
Monterrey,1481.9405279187818,5476.13128426396,2084.0779289340103,536.7133857868021,5631.102233502537,2347.937375634518,2819.2402436548223,2945.8817005076144,2247.1175126903554,3889.0825076142132,2049.799609137056,2275.865538071066,1382.4393756345178,5576.594969543148,7973.794441624366,4766.378010152284,0.0,1884.1930609137057,5801.296172588833,3495.5932639593907,2050.889776649746,2592.949324873097,1426.5538883248732,128.63761421319796,1023.7461725888326,3019.430040609137,2611.6978324873094,1825.197923857868,4892.435573604062,4560.905959390863,3238.426680203046,790.5436091370558
Morelia,1107.3935532994924,4525.567411167513,1066.060269035533,1528.1914467005079,4628.056319796954,3723.195883248731,1541.13776142132,1743.603197969543,1076.6555126903554,3865.928954314721,1934.1415583756348,1073.5870355329948,555.6404670050762,5554.000416243654,10136.33045177665,6929.460233502538,1884.1930609137057,0.0,4798.250258883249,2492.5345634517766,1100.313116751269,1589.8906243654824,747.3904314720812,1706.240263959391,840.8469746192894,1817.151538071066,1608.651918781726,737.011614213198,3941.871700507614,3610.3420862944163,2235.3679796954316,1403.1911167512692
Merida,5320.8027969543145,277.01419289340106,3634.296258883249,4178.89138071066,669.5151421319797,7396.195502538071,4171.676583756345,6457.7406802030455,3622.647055837563,8580.625436548224,5607.153964467006,5788.283517766498,4768.490710659898,10268.137898477158,14850.455147208122,11643.597715736041,5801.296172588833,4798.250258883249,0.0,3714.530228426396,3709.6962994923856,3221.848258883249,4334.610532994924,5615.638121827412,4705.48083248731,6531.276233502538,3270.204802030457,3852.183436548223,1742.350847715736,1187.361959390863,2926.1088984771577,5586.429959390864
Oaxaca,3015.0871015228427,3441.28838071066,1328.593350253807,3087.1096091370555,3543.7772893401016,5090.479807106599,1865.4018883248732,4152.024984771573,1316.9313604060915,6274.909741116751,3301.438269035533,3482.008822335026,2462.787802030457,7962.422203045686,12544.752238578681,9337.882020304567,3495.5932639593907,2492.5345634517766,3714.530228426396,0.0,1403.421604060914,915.5735634517766,2028.3358375634518,3309.93521319797,2399.7651370558374,4225.573324873097,964.4891065989848,1546.480527918782,1342.9231979695433,2526.6220558375635,1344.1287512690358,3265.5616649746194
